LN = -7.80409; L2 = -0.0882231
LN = -7.80408; L2 = -0.0893868
LN = -7.80408; L2 = -0.0893868
LN = -7.80418; L2 = -0.0735197
LN = -7.80418; L2 = -0.0735197
LN = -7.80417; L2 = -0.0623494
LN = -7.80417; L2 = -0.0623494
LN = -7.80532; L2 = -0.0648263
LN = -7.80532; L2 = -0.0648263
LN = -7.74048; L2 = -0.0652543
LN = -7.74048; L2 = -0.0652543
LN = -7.74064; L2 = -0.0652262
LN = -7.74064; L2 = -0.0652262
LN = -7.73984; L2 = -0.0916336
LN = -7.73984; L2 = -0.0916336
LN = -7.73912; L2 = -0.091874
LN = -7.73912; L2 = -0.091874
LN = -7.72643; L2 = -0.092292
LN = -7.72643; L2 = -0.092292
LN = -7.72512; L2 = -0.101457
LN = -7.72512; L2 = -0.101457
LN = -7.72451; L2 = -0.106844
LN = -7.72451; L2 = -0.106844
LN = -7.68055; L2 = -0.110199
LN = -7.68055; L2 = -0.110199
LN = -7.92582; L2 = -0.0424078
LN = -7.68055; L2 = -0.110199
LN = -7.74877; L2 = -0.110297
LN = -7.74877; L2 = -0.110297
LN = -7.74934; L2 = -0.111381
LN = -7.74934; L2 = -0.111381
LN = -7.7562; L2 = -0.109616
LN = -7.7562; L2 = -0.109616
LN = -7.67557; L2 = -0.107047
LN = -7.67557; L2 = -0.107047
LN = -7.55631; L2 = -0.10948
LN = -7.55631; L2 = -0.10948
LN = -7.19168; L2 = -0.110417
LN = -7.19168; L2 = -0.110417
LN = -7.14426; L2 = -0.101683
LN = -7.14426; L2 = -0.101683
LN = -7.14841; L2 = -0.0679297
LN = -7.14841; L2 = -0.0679297
LN = -7.37961; L2 = -0.0736421
LN = -7.37961; L2 = -0.0736421
LN = -7.37671; L2 = -0.0755
LN = -7.37671; L2 = -0.0755
LN = -7.24065; L2 = -0.0972502
LN = -7.24065; L2 = -0.0972502
LN = -7.51236; L2 = -0.0974731
LN = -7.51236; L2 = -0.0974731
LN = -7.54528; L2 = -0.0967764
LN = -7.54528; L2 = -0.0967764
LN = -7.53213; L2 = -0.097239
LN = -7.53213; L2 = -0.097239
LN = -7.43417; L2 = -0.104355
LN = -7.43417; L2 = -0.104355
LN = -7.43496; L2 = -0.173468
LN = -7.43496; L2 = -0.173468
LN = -7.43686; L2 = -0.183061
LN = -7.43686; L2 = -0.183061
LN = -7.36694; L2 = -0.186755
LN = -7.36694; L2 = -0.186755
LN = -7.36007; L2 = -0.185028
LN = -7.36007; L2 = -0.185028
LN = -7.45244; L2 = -0.182564
LN = -7.45244; L2 = -0.182564
LN = -7.36527; L2 = -0.181479
LN = -7.36527; L2 = -0.181479
LN = -7.36549; L2 = -0.183264
LN = -7.36549; L2 = -0.183264
LN = -7.10722; L2 = -0.166549
LN = -7.10722; L2 = -0.166549
LN = -7.09485; L2 = -0.166783
LN = -7.09485; L2 = -0.166783
LN = -7.0917; L2 = -0.164518
LN = -7.0917; L2 = -0.164518
