Iteration CurSyncRatio NextSyncRatio
0 88.4586 87.3069
1 87.3069 106.151
2 106.151 125.168
3 125.168 120.404
4 120.404 118.62
5 118.62 118.674
6 118.674 84.4651
7 84.4651 84.2363
8 84.2363 83.7172
9 83.7172 76.1417
10 76.1417 72.2969
11 72.2969 69.6972
12 69.6972 186.895
13 69.6972 70.2538
14 70.2538 69.5748
15 69.5748 70.7576
16 70.7576 71.7026
17 71.7026 69.0199
18 69.0199 65.132
19 65.132 70.2604
20 70.2604 105.232
21 105.232 100.209
22 100.209 97.7048
23 97.7048 74.4538
24 74.4538 77.0711
25 77.0711 77.9661
26 77.9661 77.46
27 77.46 71.2392
28 71.2392 42.8608
29 42.8608 40.625
30 40.625 39.447
31 39.447 39.7782
32 39.7782 40.821
33 40.821 40.5847
34 40.5847 40.1907
35 40.1907 42.6735
36 42.6735 42.5394
37 42.5394 43.1058
38 43.1058 41.3801
39 41.3801 41.145
40 41.145 41.3208
41 41.3208 40.5017
42 40.5017 46.361
43 46.361 44.8488
44 44.8488 48.8194
45 48.8194 49.9064
46 49.9064 49.3728
47 49.3728 47.9747
48 47.9747 66.6
49 66.6 55.2209
50 55.2209 74.9178
51 74.9178 74.889
52 74.889 74.3351
53 74.3351 71.2664
54 71.2664 44.8012
55 44.8012 40.7171
56 40.7171 38.8623
57 38.8623 51.9872
58 51.9872 56.8166
59 56.8166 62.0948
60 62.0948 53.4927
61 53.4927 52.4692
62 52.4692 52.8257
63 52.8257 55.7209
64 55.7209 51.0425
65 51.0425 53.2584
66 53.2584 43.3205
67 43.3205 61.126
68 61.126 67.2004
69 67.2004 67.151
70 67.151 81.671
71 81.671 80.8978
72 80.8978 78.6114
73 78.6114 84.4388
74 84.4388 88.0208
75 88.0208 86.5511
76 86.5511 84.9819
77 84.9819 65.533
78 65.533 85.1003
79 65.533 69.4475
80 69.4475 67.7496
81 67.7496 66.193
82 66.193 68.6242
83 68.6242 75.3943
84 75.3943 70.2956
85 70.2956 66.5506
86 66.5506 65.8874
87 65.8874 66.6015
88 66.6015 65.2643
89 65.2643 65.3189
90 65.3189 65.1223
91 65.1223 63.8864
92 63.8864 54.7206
93 54.7206 54.892
94 54.892 68.2952
95 68.2952 61.9566
96 61.9566 56.2575
97 56.2575 52.8742
98 52.8742 54.4684
99 54.4684 53.333
100 53.333 45.681
101 45.681 54.1294
102 54.1294 54.5246
103 54.5246 54.9128
104 54.9128 60.0238
105 60.0238 57.2549
106 57.2549 60.9494
107 60.9494 65.9688
108 65.9688 67.0553
109 67.0553 65.9416
110 65.9416 65.4506
111 65.4506 50.7905
112 50.7905 49.7145
113 49.7145 47.7745
114 47.7745 46.7189
115 46.7189 44.1529
116 44.1529 44.478
117 44.478 48.6683
118 48.6683 57.2201
119 57.2201 55.1593
120 55.1593 57.9035
121 57.9035 57.881
122 57.881 63.1134
123 57.881 56.8287
124 56.8287 53.5884
125 53.5884 49.5449
126 49.5449 49.6498
127 49.6498 49.2436
128 49.2436 48.9296
129 48.9296 50.0486
130 50.0486 53.4085
131 53.4085 55.2571
132 55.2571 54.8759
133 54.8759 58.2207
134 58.2207 66.8114
135 66.8114 58.6919
136 58.6919 58.9331
137 58.9331 59.323
138 59.323 59.2139
139 59.2139 59.8535
140 59.8535 56.6609
141 56.6609 57.698
142 57.698 55.6495
143 55.6495 60.2982
144 60.2982 60.1763
145 60.1763 55.1632
146 55.1632 52.7002
147 52.7002 54.737
148 54.737 54.7189
149 54.7189 59.0445
150 59.0445 59.1466
151 59.1466 75.3476
152 75.3476 86.1085
153 86.1085 95.6224
154 95.6224 79.9908
155 79.9908 83.727
156 83.727 63.8778
157 63.8778 84.7347
158 84.7347 85.2015
159 85.2015 84.8369
160 84.8369 64.2751
161 64.2751 60.2557
162 60.2557 42.8377
163 42.8377 43.6948
164 43.6948 45.5879
165 45.5879 47.6747
166 47.6747 48.5191
167 48.5191 50.1015
168 50.1015 52.7764
169 52.7764 46.8409
170 46.8409 45.0186
171 45.0186 63.1989
172 63.1989 62.2606
173 62.2606 62.5276
174 62.5276 62.2179
175 62.2179 63.1903
176 63.1903 64.9495
177 64.9495 65.2623
178 65.2623 61.8127
179 61.8127 62.4735
180 62.4735 62.3416
181 62.3416 61.8971
182 61.8971 44.685
183 44.685 42.2594
184 42.2594 41.8917
185 41.8917 45.8494
186 45.8494 46.5473
187 46.5473 46.9624
188 46.9624 50.093
189 50.093 54.6744
190 54.6744 54.448
191 54.448 60.0835
192 54.448 65.2112
193 65.2112 60.3578
194 60.3578 61.931
195 61.931 58.99
196 58.99 59.3678
197 59.3678 55.4457
198 55.4457 73.7412
199 73.7412 72.3294
200 72.3294 100.153
201 72.3294 71.9749
202 71.9749 72.7262
203 72.7262 50.541
204 50.541 51.1106
205 51.1106 52.2642
206 52.2642 45.8258
207 45.8258 76.2481
208 76.2481 76.9297
209 76.9297 77.0964
210 77.0964 76.7747
211 76.7747 81.3815
212 81.3815 81.1417
213 81.1417 82.1774
214 82.1774 82.5233
215 82.5233 74.7067
216 74.7067 75.3818
217 75.3818 83.1212
218 83.1212 63.7572
219 63.7572 63.9032
220 63.9032 54.0876
221 54.0876 57.7352
222 54.0876 52.4466
223 52.4466 51.9476
224 51.9476 52.5281
225 52.5281 53.2974
226 53.2974 55.6586
227 55.6586 55.4614
228 55.4614 54.5543
229 54.5543 54.7074
230 54.7074 50.6715
231 50.6715 50.6573
232 50.6573 50.6057
233 50.6057 48.5141
234 48.5141 46.7211
235 46.7211 46.3519
236 46.3519 45.9765
237 45.9765 40.9093
238 40.9093 40.6211
239 40.6211 45.265
240 45.265 45.7436
241 45.7436 48.7821
242 48.7821 48.437
243 48.437 52.2467
244 52.2467 45.7992
245 45.7992 44.5327
246 44.5327 45.0206
247 45.0206 44.7043
248 44.7043 44.8207
249 44.8207 48.1896
250 48.1896 46.6006
251 46.6006 50.4207
252 50.4207 51.3116
253 51.3116 49.7683
254 49.7683 48.2936
255 48.2936 43.4435
256 43.4435 42.7615
257 42.7615 53.3034
258 42.7615 47.7071
259 42.7615 43.8987
260 43.8987 51.9272
261 51.9272 39.0987
262 39.0987 39.4819
263 39.4819 37.4801
264 37.4801 38.4599
265 38.4599 39.0692
266 39.0692 39.1432
267 39.1432 44.1396
268 44.1396 43.0973
269 43.0973 44.1659
270 44.1659 43.5516
271 43.5516 42.8287
272 42.8287 92.0165
273 42.8287 39.564
274 39.564 61.2363
275 61.2363 42.8763
276 42.8763 36.8912
277 36.8912 37.0403
278 37.0403 37.6056
279 37.6056 43.2685
280 43.2685 42.2596
281 42.2596 49.4583
282 49.4583 50.115
283 50.115 48.7338
284 48.7338 48.4628
285 48.4628 51.1831
286 51.1831 52.8934
287 51.1831 47.4123
288 47.4123 53.0686
289 53.0686 46.1759
290 46.1759 49.4615
291 49.4615 45.573
292 45.573 42.3902
293 42.3902 41.7682
294 41.7682 41.7222
295 41.7222 41.131
296 41.131 40.5297
297 40.5297 40.5947
298 40.5947 46.6052
299 46.6052 50.2884
300 50.2884 49.545
301 49.545 48.5335
302 48.5335 47.5148
303 47.5148 45.4151
304 45.4151 47.1935
